record_id,borrower_id,borrower_name,segment,constitution,sector,geography,business_vintage_years,loan_type,sanctioned_limit,outstanding_amount,collateral_available,CGTMSE_flag,cluster_id,anchor_buyer_id,obs_month,current_dpd,max_dpd_last_12m,emi_bounce_count_6m,cheque_return_count_6m,si_ecs_bounce_count_6m,repayment_regularity_score,cc_utilization_avg_3m,cc_utilization_avg_6m,cc_utilization_volatility,drawing_power_decline_pct,overdue_days_trend,SMA_status,gst_turnover_12m,gst_turnover_growth_yoy,gst_filing_delay_count_6m,gstr1_vs_3b_mismatch_pct,itc_to_sales_ratio,nil_return_count_12m,sudden_turnover_spike_flag,gst_registration_age_years,gst_status,buyer_concentration_top2_pct,supplier_concentration_top2_pct,eway_bill_mismatch_flag,avg_monthly_bank_credit_6m,avg_monthly_bank_debit_6m,bank_credit_to_gst_sales_ratio,cash_deposit_ratio,avg_monthly_balance,inward_return_count_6m,outward_return_count_6m,upi_pos_collection_ratio,cashflow_volatility_score,debt_service_coverage_proxy,monthly_surplus_ratio,bureau_score,bureau_enquiry_count_3m,existing_loan_count,total_obligation,unsecured_loan_exposure,bureau_dpd_last_12m,credit_vintage_years,epfo_employee_count,epfo_employee_count_change_6m,salary_payment_regularity_score,cam_remarks,fi_remarks,rcu_remarks,collection_remarks,stock_inspection_remarks,stress_12m,growth_need_12m
REC0000015,B100001,MSME Enterprise 00001,Service,Partnership,Services,Jaipur,3.6,LAP,1666179.0,433904.0,Yes,Yes,Services-Jaipur,Services-Jaipur-BUYER2,7,0,3,0,4,0,100.0,30.8,52.6,6.84,2.6,1.7,Standard,3757808.0,-2.7,0,5.8,0.558,0,0,3.4,Active,52.1,22.3,0,263732.0,282435.0,0.842,0.223,22705.0,0,0,0.458,20.1,1.1,0.083,706,0,1,894182.0,432346.0,4,3.3,25,1.9,91.0,business running satisfactorily.,business premises verified and active.,common email id linked to multiple applicants; no linkage with other defaulting entities found; address verification inconclusive.,borrower proactively regularised dues; part payment received after repeated follow up.,stock audit found no discrepancy.,0,1
REC0000016,B100002,MSME Enterprise 00002,CGTMSE,Proprietorship,Textile,Mumbai,8.1,Term Loan,4405339.0,3338536.0,No,Yes,Textile-Mumbai,Textile-Mumbai-BUYER3,0,1,3,0,0,0,89.9,82.3,71.5,12.88,18.7,-0.0,SMA-0,10110271.0,-3.3,0,3.6,0.77,0,0,7.5,Active,52.8,56.9,0,601509.0,527744.0,0.714,0.448,22629.0,0,0,0.235,46.4,0.89,0.133,556,4,2,4672071.0,2240102.0,3,7.5,18,-15.9,69.5,promoter diverting funds to group entity suspected; business running satisfactorily.,technical report indicates property access issue; shop found closed during visit.,common email id linked to multiple applicants; address verification inconclusive.,repayment conduct satisfactory; part payment received after repeated follow up.,stock statement matches book records.,0,0
REC0000017,B100002,MSME Enterprise 00002,CGTMSE,Proprietorship,Textile,Mumbai,8.1,Term Loan,4405339.0,3338536.0,No,Yes,Textile-Mumbai,Textile-Mumbai-BUYER3,1,1,16,0,0,2,71.3,77.7,86.9,15.74,21.1,3.8,SMA-0,14020549.0,-8.2,0,24.0,0.842,1,0,7.7,Cancelled,78.2,59.9,0,497734.0,451564.0,0.426,0.464,17064.0,2,1,0.208,60.6,0.1,-0.076,570,1,3,3823443.0,1716309.0,17,5.1,11,-27.4,48.8,declining turnover trend observed; promoter diverting funds to group entity suspected.,unit operational with visible activity.,RCU noted common mobile number with other entities; no adverse RCU observation.,EMI realised on due date; borrower unreachable on registered number; cheque returned for insufficient funds.,stock not matching book records; stock verified and found adequate; stock ageing beyond acceptable limits.,0,0
REC0000018,B100002,MSME Enterprise 00002,CGTMSE,Proprietorship,Textile,Mumbai,8.1,Term Loan,4405339.0,3338536.0,No,Yes,Textile-Mumbai,Textile-Mumbai-BUYER3,2,5,24,5,4,1,52.2,114.8,94.6,21.72,20.6,6.1,SMA-0,15021989.0,-35.2,6,29.9,1.027,1,0,6.6,Active,78.5,98.0,0,483259.0,489783.0,0.386,0.558,26387.0,3,0,0.105,77.7,0.1,-0.398,445,13,0,4162411.0,3686501.0,25,6.2,14,-33.5,41.3,buyer base concentrated with top two buyers.,unit operations appear scaled down; frequent promise to pay noted.,common email id linked to multiple applicants; no linkage with other defaulting entities found.,part payment received after repeated follow up; borrower unreachable on registered number.,stock verification could not be completed; stock not matching book records.,0,0
REC0000019,B100002,MSME Enterprise 00002,CGTMSE,Proprietorship,Textile,Mumbai,8.1,Term Loan,4405339.0,3338536.0,No,Yes,Textile-Mumbai,Textile-Mumbai-BUYER3,3,9,23,2,0,5,63.4,89.5,86.1,21.49,34.8,-2.2,SMA-0,12410320.0,-35.1,1,32.7,0.775,4,0,7.1,Cancelled,51.1,80.9,1,401361.0,397540.0,0.388,0.554,18061.0,1,3,0.274,100.0,0.1,-0.472,482,3,3,5539014.0,4767053.0,24,7.4,1,-31.9,41.4,declining turnover trend observed; related party transactions suspected.,unit operations appear scaled down; frequent promise to pay noted.,address verification inconclusive.,borrower proactively regularised dues; borrower unreachable on registered number.,stock verified and found adequate; stock not matching book records; obsolete stock observed during inspection.,0,0
REC0000020,B100002,MSME Enterprise 00002,CGTMSE,Proprietorship,Textile,Mumbai,8.1,Term Loan,4405339.0,3338536.0,No,Yes,Textile-Mumbai,Textile-Mumbai-BUYER3,4,12,37,4,1,1,40.9,97.7,90.7,23.4,38.6,4.9,SMA-0,12301393.0,-34.4,3,29.7,1.056,5,0,7.2,Suspended,85.6,96.6,1,203992.0,193251.0,0.199,0.694,1539.0,0,1,0.02,91.1,0.1,-0.5,425,9,3,4047547.0,2093292.0,38,5.5,5,-35.1,38.4,promoter diverting funds to group entity suspected; related party transactions suspected.,unit operational with visible activity; frequent promise to pay noted; shop found closed during visit.,identity and address cross-verified; address verification inconclusive.,cheque returned for insufficient funds; no follow up required this month.,stock verified and found adequate; stock ageing beyond acceptable limits.,1,0
REC0000021,B100002,MSME Enterprise 00002,CGTMSE,Proprietorship,Textile,Mumbai,8.1,Term Loan,4405339.0,3338536.0,No,Yes,Textile-Mumbai,Textile-Mumbai-BUYER3,5,27,52,9,1,3,26.4,115.0,109.9,27.77,33.7,8.6,SMA-0,6998902.0,-59.8,5,42.9,1.162,2,1,7.0,Suspended,96.4,80.3,0,102731.0,78857.0,0.176,0.81,973.0,4,5,0.02,85.6,0.1,-0.5,318,12,5,2644277.0,2436323.0,53,5.4,4,-55.7,22.3,declining turnover trend observed; repayment track record satisfactory.,frequent promise to pay noted; technical report indicates property access issue.,common email id linked to multiple applicants; discrepancy noted in KYC documents.,borrower unreachable on registered number; part payment received after repeated follow up.,stock verification could not be completed; stock ageing beyond acceptable limits; inventory levels healthy and moving.,1,0
REC0000022,B100002,MSME Enterprise 00002,CGTMSE,Proprietorship,Textile,Mumbai,8.1,Term Loan,4405339.0,3338536.0,No,Yes,Textile-Mumbai,Textile-Mumbai-BUYER3,6,41,64,8,9,8,15.6,99.1,92.0,25.24,42.5,8.9,SMA-1,12581902.0,-56.1,5,44.9,1.218,2,0,7.4,Active,96.7,88.0,0,157274.0,153597.0,0.15,0.95,500.0,1,2,0.02,100.0,0.1,-0.5,300,11,6,5535384.0,5258615.0,66,4.9,23,-58.9,10.0,adequate liquidity maintained; promoter diverting funds to group entity suspected.,unit operational with visible activity; frequent promise to pay noted; unit operations appear scaled down.,identity and address cross-verified.,part payment received after repeated follow up; borrower unreachable on registered number.,stock ageing beyond acceptable limits.,1,0
REC0000023,B100002,MSME Enterprise 00002,CGTMSE,Proprietorship,Textile,Mumbai,8.1,Term Loan,4405339.0,3338536.0,No,Yes,Textile-Mumbai,Textile-Mumbai-BUYER3,7,110,139,7,7,9,20.9,105.7,88.1,30.21,36.7,11.3,NPA,14604790.0,-63.2,2,54.6,1.255,4,1,6.7,Active,98.0,98.0,1,182560.0,186605.0,0.15,0.95,500.0,8,2,0.02,100.0,0.1,-0.5,300,12,5,1544926.0,1467680.0,140,7.0,18,-53.1,10.0,declining turnover trend observed; financials in line with projections; buyer base concentrated with top two buyers.,shop found closed during visit; technical report indicates property access issue.,documents verified genuine; discrepancy noted in KYC documents.,part payment received after repeated follow up; borrower proactively regularised dues; frequent promise to pay.,obsolete stock observed during inspection; stock ageing beyond acceptable limits.,1,0
REC0000024,B100003,MSME Enterprise 00003,Existing,Partnership,Construction,Ahmedabad,2.1,CGTMSE,2021923.0,1497118.0,No,No,Construction-Ahmedabad,Construction-Ahmedabad-BUYER3,0,1,5,0,0,0,99.0,57.8,65.4,3.96,0.7,1.0,SMA-0,2492935.0,11.1,0,2.3,0.715,0,0,1.2,Active,35.9,37.5,0,159659.0,120545.0,0.769,0.15,8780.0,0,1,0.657,16.6,1.43,0.076,656,2,1,2698761.0,1370695.0,5,1.9,7,0.4,72.1,financials in line with projections.,stock levels found adequate.,documents verified genuine.,EMI realised on due date.,inventory levels healthy and moving.,0,0
REC0000025,B100003,MSME Enterprise 00003,Existing,Partnership,Construction,Ahmedabad,2.1,CGTMSE,2021923.0,1497118.0,No,No,Construction-Ahmedabad,Construction-Ahmedabad-BUYER3,1,0,1,1,0,0,99.7,61.4,33.0,7.39,11.1,0.5,Standard,6526719.0,1.8,1,7.8,0.603,0,0,0.6,Active,22.6,20.0,0,544357.0,445657.0,1.001,0.306,11934.0,1,0,0.284,29.3,1.7,0.187,808,1,2,907264.0,99818.0,1,1.9,2,-0.3,85.1,promoter diverting funds to group entity suspected; business running satisfactorily.,unit operations appear scaled down.,identity and address cross-verified.,EMI realised on due date.,stock verified and found adequate.,0,1
REC0000026,B100003,MSME Enterprise 00003,Existing,Partnership,Construction,Ahmedabad,2.1,CGTMSE,2021923.0,1497118.0,No,No,Construction-Ahmedabad,Construction-Ahmedabad-BUYER3,2,0,1,0,1,0,100.0,44.6,39.5,10.83,-2.9,1.7,Standard,2737791.0,1.3,0,4.0,0.524,1,0,1.1,Active,40.4,38.9,0,156402.0,143064.0,0.686,0.132,11846.0,1,0,0.356,31.5,1.35,0.194,822,1,0,1565056.0,229850.0,2,2.0,33,-8.2,84.3,promoter conduct satisfactory.,field investigation found no adverse observation.,identity and address cross-verified.,EMI realised on due date.,inventory levels healthy and moving.,0,0
REC0000027,B100003,MSME Enterprise 00003,Existing,Partnership,Construction,Ahmedabad,2.1,CGTMSE,2021923.0,1497118.0,No,No,Construction-Ahmedabad,Construction-Ahmedabad-BUYER3,3,0,3,0,0,0,100.0,32.4,67.9,10.24,6.7,-1.3,Standard,5448215.0,40.6,0,7.3,0.392,0,0,0.7,Active,17.6,25.5,0,356006.0,306449.0,0.784,0.224,13583.0,1,0,0.506,10.4,1.53,0.211,723,0,0,2656262.0,836024.0,4,2.0,8,3.5,100.0,promoter conduct satisfactory.,field investigation found no adverse observation.,RCU noted common mobile number with other entities.,frequent promise to pay; repayment conduct satisfactory.,stock statement matches book records.,0,1
REC0000028,B100003,MSME Enterprise 00003,Existing,Partnership,Construction,Ahmedabad,2.1,CGTMSE,2021923.0,1497118.0,No,No,Construction-Ahmedabad,Construction-Ahmedabad-BUYER3,4,0,1,1,0,0,85.9,70.8,39.7,9.09,3.8,2.1,Standard,2961740.0,-3.8,0,5.0,0.494,0,0,2.0,Active,32.2,34.8,0,213354.0,182980.0,0.864,0.105,18144.0,0,0,0.438,30.2,1.44,0.021,658,2,5,1437755.0,839516.0,2,1.3,6,2.5,80.0,adequate liquidity maintained.,business premises verified and active.,no adverse RCU observation; discrepancy noted in KYC documents.,no follow up required this month.,stock verified and found adequate.,0,0
REC0000029,B100003,MSME Enterprise 00003,Existing,Partnership,Construction,Ahmedabad,2.1,CGTMSE,2021923.0,1497118.0,No,No,Construction-Ahmedabad,Construction-Ahmedabad-BUYER3,5,0,3,1,0,0,100.0,31.0,56.0,3.17,11.4,-3.1,Standard,5492288.0,11.4,1,0.1,0.602,0,0,0.7,Active,33.3,30.4,0,287584.0,286882.0,0.628,0.363,19060.0,0,0,0.206,22.7,0.99,0.134,707,0,2,2220574.0,466851.0,3,2.0,13,1.7,81.5,promoter conduct satisfactory.,field investigation found no adverse observation.,no adverse RCU observation.,repayment conduct satisfactory.,stock verified and found adequate.,0,0
REC0000030,B100003,MSME Enterprise 00003,Existing,Partnership,Construction,Ahmedabad,2.1,CGTMSE,2021923.0,1497118.0,No,No,Construction-Ahmedabad,Construction-Ahmedabad-BUYER3,6,0,1,2,0,0,96.5,47.1,54.9,7.13,-4.0,-6.1,Standard,4685911.0,-0.4,1,2.8,0.596,2,0,2.1,Active,46.1,16.4,0,409311.0,403745.0,1.048,0.253,38740.0,1,0,0.379,7.1,1.58,0.21,784,1,0,2313000.0,64321.0,4,1.5,10,15.6,100.0,business running satisfactorily.,frequent promise to pay noted.,no adverse RCU observation.,borrower proactively regularised dues; part payment received after repeated follow up.,inventory levels healthy and moving.,0,0
REC0000031,B100003,MSME Enterprise 00003,Existing,Partnership,Construction,Ahmedabad,2.1,CGTMSE,2021923.0,1497118.0,No,No,Construction-Ahmedabad,Construction-Ahmedabad-BUYER3,7,0,0,0,0,1,100.0,49.6,19.5,3.14,4.6,-7.3,Standard,6723126.0,25.8,0,1.1,0.438,0,0,1.3,Active,23.4,48.8,0,438821.0,352234.0,0.783,0.247,19437.0,1,0,0.593,12.2,0.79,0.144,764,4,2,2191840.0,130476.0,2,1.7,4,-1.8,73.4,repayment track record satisfactory.,business premises verified and active.,no adverse RCU observation.,no follow up required this month.,stock verified and found adequate.,0,0
REC0000032,B100004,MSME Enterprise 00004,Trader,Pvt Ltd,Gems & Jewellery,Ludhiana,5.0,Machinery Loan,1064631.0,961523.0,No,No,Gems & Jewellery-Ludhiana,Gems & Jewellery-Ludhiana-BUYER2,0,0,1,1,0,4,100.0,51.7,39.1,8.19,8.3,-1.2,Standard,2436276.0,22.1,1,0.0,0.515,0,0,4.4,Active,27.1,35.2,1,124756.0,133379.0,0.614,0.02,9240.0,0,0,0.484,2.0,0.88,0.059,765,0,2,1576552.0,0.0,0,3.4,20,-12.4,90.9,promoter conduct satisfactory.,business premises verified and active.,discrepancy noted in KYC documents; documents verified genuine.,repayment conduct satisfactory; borrower unreachable on registered number.,stock verified and found adequate; stock verification could not be completed.,0,1
REC0000033,B100004,MSME Enterprise 00004,Trader,Pvt Ltd,Gems & Jewellery,Ludhiana,5.0,Machinery Loan,1064631.0,961523.0,No,No,Gems & Jewellery-Ludhiana,Gems & Jewellery-Ludhiana-BUYER2,1,0,4,0,1,1,100.0,54.3,38.8,2.28,-0.9,-5.0,Standard,3422163.0,-0.3,0,0.9,0.562,1,0,3.6,Active,30.2,16.6,0,200396.0,168552.0,0.703,0.02,11919.0,0,1,0.347,17.8,1.78,-0.12,751,0,1,2487898.0,376490.0,4,4.3,34,22.7,100.0,financials in line with projections.,frequent promise to pay noted.,documents verified genuine.,borrower unreachable on registered number.,stock statement matches book records.,0,1
REC0000034,B100004,MSME Enterprise 00004,Trader,Pvt Ltd,Gems & Jewellery,Ludhiana,5.0,Machinery Loan,1064631.0,961523.0,No,No,Gems & Jewellery-Ludhiana,Gems & Jewellery-Ludhiana-BUYER2,2,0,2,0,2,0,100.0,79.1,30.0,2.68,-0.4,-3.0,Standard,1612488.0,15.7,0,4.0,0.603,0,0,4.0,Active,41.4,11.6,0,111023.0,105026.0,0.826,0.25,10000.0,0,0,0.543,23.4,1.28,0.172,661,1,0,1523924.0,364862.0,2,3.7,2,-5.0,73.8,promoter conduct satisfactory.,unit operational with visible activity.,documents verified genuine.,EMI realised on due date.,stock verification could not be completed.,0,0
REC0000035,B100004,MSME Enterprise 00004,Trader,Pvt Ltd,Gems & Jewellery,Ludhiana,5.0,Machinery Loan,1064631.0,961523.0,No,No,Gems & Jewellery-Ludhiana,Gems & Jewellery-Ludhiana-BUYER2,3,0,1,0,1,0,98.8,28.8,36.2,2.05,5.9,-3.6,Standard,2354673.0,27.0,0,0.0,0.496,1,0,3.7,Active,43.3,39.9,0,142931.0,115960.0,0.728,0.198,8638.0,0,0,0.296,28.5,1.53,0.151,697,2,2,337975.0,6542.0,3,4.2,5,-2.4,93.8,promoter conduct satisfactory.,business premises verified and active.,no linkage with other defaulting entities found.,no follow up required this month.,stock verified and found adequate.,0,1
REC0000036,B100004,MSME Enterprise 00004,Trader,Pvt Ltd,Gems & Jewellery,Ludhiana,5.0,Machinery Loan,1064631.0,961523.0,No,No,Gems & Jewellery-Ludhiana,Gems & Jewellery-Ludhiana-BUYER2,4,1,5,0,1,0,100.0,57.9,75.8,11.9,0.1,-5.6,SMA-0,3638013.0,3.7,0,6.4,0.686,0,0,4.1,Active,43.4,34.1,0,284722.0,238941.0,0.939,0.339,31288.0,0,2,0.47,41.5,1.07,0.012,606,3,0,1587214.0,133287.0,5,3.3,16,-2.8,66.9,cash flow stress visible.,field investigation found no adverse observation.,no adverse RCU observation.,borrower unreachable on registered number; frequent promise to pay.,stock audit found no discrepancy; stock not matching book records.,0,1
